Timestamp, bus_booking_method,booking_frustrations, use_likelihood,fee_willingness,feature_preferences,main_route, preferred_mobile_money, booking_confirmations_preferences,whatsapp
04/10/2026 19:37,Physical trip to the station/inter-city terminus,"Limited payment options (cash only), Uncertainty about departure times, Wasting time/money traveling to the station just to buy a ticket, Poor safety/security at the station",I might use it depending on the bus operator,Yes,"Refreshments: Pre-ordering a drink or snack for the trip., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Seat Selection: Choosing exactly where I sit (Window or Aisle)",Lusaka — Kitwe / Ndola,Airtel Money,"WhatsApp, SMS/Text Message, Email",973154141
04/10/2026 19:39,Physical trip to the station/inter-city terminus,"Lack of seat availability when I arrive, Wasting time/money traveling to the station just to buy a ticket, Poor safety/security at the station, Uncertainty about departure times",I would use it every time I travel,Yes,"Seat Selection: Choosing exactly where I sit (Window or Aisle), Refreshments: Pre-ordering a drink or snack for the trip., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.",Lusaka/Mansa,Airtel Money,WhatsApp,
04/10/2026 19:39,Physical trip to the station/inter-city terminus,Wasting time/money traveling to the station just to buy a ticket,I would likely use it for most trips,Maybe,Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.,Lusaka — Solwezi,MTN MoMo,SMS/Text Message,761056552
04/10/2026 19:43,Physical trip to the station/inter-city terminus,"Limited payment options (cash only), Uncertainty about departure times, Poor safety/security at the station, Lack of seat availability when I arrive, Wasting time/money traveling to the station just to buy a ticket",I might use it depending on the bus operator,Yes,Seat Selection: Choosing exactly where I sit (Window or Aisle),Lusaka — Solwezi,MTN MoMo,SMS/Text Message,
04/10/2026 19:43,Physical trip to the station/inter-city terminus,"Limited payment options (cash only), Wasting time/money traveling to the station just to buy a ticket, Uncertainty about departure times, Poor safety/security at the station",I would use it every time I travel,Yes,"Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Live Tracking: Seeing exactly where the bus is on a map., Seat Selection: Choosing exactly where I sit (Window or Aisle)",Lusaka — Kitwe / Ndola,Airtel Money,"SMS/Text Message, WhatsApp",
04/10/2026 20:01,"Calling a driver or agent directly, Physical trip to the station/inter-city terminus","Uncertainty about departure times, Wasting time/money traveling to the station just to buy a ticket",I would likely use it for most trips,Maybe,"Refreshments: Pre-ordering a drink or snack for the trip., Seat Selection: Choosing exactly where I sit (Window or Aisle), Live Tracking: Seeing exactly where the bus is on a map.",Lusaka — Kitwe / Ndola,Airtel Money,SMS/Text Message,
04/10/2026 20:47,Physical trip to the station/inter-city terminus,"Wasting time/money traveling to the station just to buy a ticket, Lack of seat availability when I arrive, Uncertainty about departure times",I would use it every time I travel,Yes,"Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Seat Selection: Choosing exactly where I sit (Window or Aisle), Live Tracking: Seeing exactly where the bus is on a map.",Lusaka - Nakonde ,Airtel Money,WhatsApp,
04/10/2026 21:07,Physical trip to the station/inter-city terminus,Lack of seat availability when I arrive,I would likely use it for most trips,Maybe,Live Tracking: Seeing exactly where the bus is on a map.,Nakonde,Airtel Money,SMS/Text Message,974151574
04/10/2026 21:44,Physical trip to the station/inter-city terminus,"Lack of seat availability when I arrive, Uncertainty about departure times",I would likely use it for most trips,Yes,"Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Live Tracking: Seeing exactly where the bus is on a map.",Lusaka — Kitwe / Ndola,Airtel Money,WhatsApp,
04/10/2026 22:37,Physical trip to the station/inter-city terminus,"Uncertainty about departure times, Wasting time/money traveling to the station just to buy a ticket, Limited payment options (cash only)",I would likely use it for most trips,Yes,"Seat Selection: Choosing exactly where I sit (Window or Aisle), Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Live Tracking: Seeing exactly where the bus is on a map., Refreshments: Pre-ordering a drink or snack for the trip.",Lusaka — Kitwe / Ndola,Airtel Money,SMS/Text Message,
04/10/2026 23:18,Physical trip to the station/inter-city terminus,Limited payment options (cash only),I might use it depending on the bus operator,Yes,"Refreshments: Pre-ordering a drink or snack for the trip., Seat Selection: Choosing exactly where I sit (Window or Aisle), Live Tracking: Seeing exactly where the bus is on a map., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.",Lusaka — Kitwe / Ndola,Airtel Money,"In-app push notification, SMS/Text Message, WhatsApp",
04/10/2026 23:53,Physical trip to the station/inter-city terminus,"Lack of seat availability when I arrive, Limited payment options (cash only), Wasting time/money traveling to the station just to buy a ticket, Poor safety/security at the station, Uncertainty about departure times",I would use it every time I travel,Yes,"Refreshments: Pre-ordering a drink or snack for the trip., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Seat Selection: Choosing exactly where I sit (Window or Aisle), Live Tracking: Seeing exactly where the bus is on a map.",Lusaka — Kitwe / Ndola,Airtel Money,"WhatsApp, Email, SMS/Text Message",
04/11/2026 03:34,Physical trip to the station/inter-city terminus,"Uncertainty about departure times, Lack of seat availability when I arrive, Poor safety/security at the station, Limited payment options (cash only), Wasting time/money traveling to the station just to buy a ticket",I might use it depending on the bus operator,Maybe,"Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Seat Selection: Choosing exactly where I sit (Window or Aisle)",Lusaka — Livingstone,I prefer Bank/Card,"Email, SMS/Text Message",
04/11/2026 07:10,Physical trip to the station/inter-city terminus,"Wasting time/money traveling to the station just to buy a ticket, Poor safety/security at the station, Lack of seat availability when I arrive",I would likely use it for most trips,Yes,"Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Live Tracking: Seeing exactly where the bus is on a map., Seat Selection: Choosing exactly where I sit (Window or Aisle), Refreshments: Pre-ordering a drink or snack for the trip.",Lusaka — Solwezi,MTN MoMo,WhatsApp,975838222
